PassengerCount,TripDurationSeconds,TripDistanceMiles,PaymentType,FareAmount,TaxAmount,ZipCodeBKey,City,State,TripDate
2,2400,19.81,CRD,72,0,10075-0183,Flushing,NY,2013-09-20
6,2400,21.54,CRD,77,0,10016-4997,Manhattan,NY,2013-06-02
6,1980,15.13,CRD,62,0,10016-9027,Manhattan,NY,2013-12-15
3,2260,20.4,CRD,74,0,10017-2027,New York,NY,2013-05-05
6,2100,17.28,CRD,68,0,10023-4325,Manhattan,NY,2013-04-02
2,1320,14.1,CRD,57,0,10003-4650,Manhattan,NY,2013-02-24
3,2537,18,CRD,71,0,10019-6005,New York,NY,2013-12-17
2,2871,22.9,CRD,65,1,11369-1222,Queens,NY,2013-10-05
5,1620,17.98,CRD,66,0,10069-0801,New York,NY,2013-05-10
2,2056,12.7,CRD,52,1,10013-1328,Prince,NY,2013-07-06
2,2040,17.53,CRD,68,0,10019-5025,New York,NY,2013-04-01
5,1680,15.92,CRD,61,0,10019-6007,New York,NY,2013-12-05
2,2532,18.5,CRD,70,0,10017-1222,New York,NY,2013-12-20
2,1800,15.42,CRD,62,0,10010-5032,Manhattan,NY,2013-07-31
2,2400,15.64,CRD,90,0,10007-2701,Manhattan,NY,2013-12-29
4,2220,13.38,CRD,90,1,10013-6022,Manhattan,NY,2013-05-23
2,1423,13.7,CRD,56,0,10012-2648,Prince,NY,2013-04-11
2,1800,14.12,CRD,60,0,10038-1981,Brooklyn Heights,NY,2013-05-16
2,3274,17.6,CRD,76,0,10019-5301,New York,NY,2013-08-05
2,60,0,CRD,79,1,07114-3786,Newark,NJ,2013-09-08
2,45,0,CRD,75,0,07114-3786,Newark,NJ,2013-04-21
5,1680,17.65,CRD,66,0,10016-7310,Manhattan,NY,2013-07-18
2,1218,13.5,CRD,55,0,10014-6102,Manhattan,NY,2013-04-14
4,1860,19.83,CRD,71,0,10019-6643,Manhattan,NY,2013-12-19
5,1680,14.44,CRD,58,0,10001-5011,New York,NY,2013-02-03
5,1560,13.05,CRD,55,0,10012-4411,Manhattan,NY,2013-01-07
4,1621,15.3,CRD,60,0,11201-5702,Brooklyn,NY,2013-05-24
6,2040,17.91,CRD,68,0,10106-0200,New York,NY,2013-09-25
2,3120,15.21,CRD,68,0,10010-5405,Manhattan,NY,2013-08-25
6,2040,15.37,CRD,63,0,10003-1606,Manhattan,NY,2013-11-23
6,2460,16.44,CRD,67,0,10006-1801,Brooklyn Heights,NY,2013-07-27
2,2040,19.69,CRD,73,0,10128-3985,New York,NY,2013-02-14
2,3000,23.98,CRD,86,0,10023-6514,Manhattan,NY,2013-01-12
5,2160,20.2,CRD,75,0,10019-5890,New York,NY,2013-08-14
2,1480,18.6,CRD,69,0,10036-2007,New York,NY,2013-01-20
2,1573,14,CRD,58,0,10013-1673,Manhattan,NY,2013-05-27
2,2400,18.84,CRD,71,0,10024-6280,Manhattan,NY,2013-12-21
2,1660,19.1,CRD,70,0,10036-1016,New York,NY,2013-02-23
2,1590,18,CRD,66,0,10023-8179,Manhattan,NY,2013-05-25
2,4195,21.9,CRD,88,0,10036-6640,Manhattan,NY,2013-07-03
2,2558,16.3,CRD,67,0,10003-7800,Manhattan,NY,2013-05-02
2,2182,19.1,CRD,71,0,10019-5229,New York,NY,2013-02-08
2,92,12.6,CRD,75,0,07114-3786,Newark,NJ,2013-11-18
2,1667,15,CRD,61,0,10002-1239,Manhattan,NY,2013-08-14
5,2580,20.27,CRD,77,0,10019-5727,Manhattan,NY,2013-09-06
5,1740,13.5,CRD,57,0,10007-2204,Manhattan,NY,2013-11-20
6,2160,18.87,CRD,70,0,10017-1288,Manhattan,NY,2013-10-09
3,2226,20.2,CRD,73,0,11249-2905,Brooklyn,NY,2013-12-14
4,1093,16.5,CRD,61,0,10018-1103,Manhattan,NY,2013-03-07
3,2806,19.5,CRD,78,0,10019-5880,Manhattan,NY,2013-11-17
3,2331,18,CRD,69,0,10019-5360,New York,NY,2013-10-06
5,3240,27.23,CRD,95,0,11369-1222,Queens,NY,2013-11-01
6,1680,17.56,CRD,65,0,10036-1466,Manhattan,NY,2013-12-05
6,1500,17.81,CRD,66,0,10016-6736,Manhattan,NY,2013-01-24
2,1980,15.36,CRD,80,1,10003-3146,Manhattan,NY,2013-05-01
4,1500,16.19,CRD,85,1,10022-6819,New York,NY,2013-01-04
1,720,8.91,CRD,65,1,07306-6705,Jersey City,NJ,2013-03-04
1,2780,18.6,CRD,74,0,10019-1562,New York,NY,2013-09-13
1,3186,18.4,CRD,76,0,10019-3982,New York,NY,2013-01-10
1,1653,17.6,CRD,65,0,10019-5808,New York,NY,2013-07-27
1,4620,19.5,CRD,87,0,10022-5250,Franklin D Roosevelt,NY,2013-09-04
1,2820,21.08,CRD,79,0,10017-1222,New York,NY,2013-03-07
1,1912,14.2,CRD,59,0,10005-1001,Brooklyn Heights,NY,2013-04-30
1,3060,17.42,CRD,74,0,11422-3125,Springfield Gardens,NY,2013-05-20
1,1934,14.7,CRD,60,0,10013-1619,Manhattan,NY,2013-04-12
1,1541,17.3,CRD,64,0,10011-1295,Manhattan,NY,2013-01-05
1,1779,20.4,CRD,73,0,10023-6551,Manhattan,NY,2013-03-22
1,1384,16.8,CRD,63,0,10018-1793,Manhattan,NY,2013-09-19
1,2434,18.9,CRD,73,0,10024-2436,Planetarium,NY,2013-12-13
1,2280,18.58,CRD,71,0,10019-1203,Manhattan,NY,2013-09-18
1,1474,16.8,CRD,64,0,10019-7102,New York,NY,2013-02-24
1,1680,16.55,CRD,64,0,10004-1078,Jersey City,NY,2013-11-27
1,1620,18.26,CRD,67,0,10014-1106,Manhattan,NY,2013-05-04
1,1620,17.59,CRD,66,0,10011-3380,Manhattan,NY,2013-12-02
1,2220,18.63,CRD,70,0,10065-7356,New York,NY,2013-11-08
1,2434,20.2,CRD,76,0,10019-1562,New York,NY,2013-06-14
1,1546,16.9,CRD,64,0,10018-3701,Manhattan,NY,2013-02-12
1,1538,17,CRD,63,0,10001-2755,Manhattan,NY,2013-04-25
1,3108,18,CRD,75,0,10017-2027,New York,NY,2013-06-24
1,2028,18.1,CRD,80,0,10022-4205,New York,NY,2013-06-09
1,1872,19.1,CRD,71,0,10065-6710,New York,NY,2013-11-10
1,2885,21.8,CRD,79,0,10025-6551,Manhattan,NY,2013-07-12
1,2912,18.4,CRD,76,0,10017-5649,Manhattan,NY,2013-07-26
1,1729,16,CRD,62,0,10282-5600,Manhattan,NY,2013-11-01
1,2280,19.21,CRD,71,0,10011-5958,Manhattan,NY,2013-02-23
1,2100,17.91,CRD,67,0,10017-3907,New York,NY,2013-12-17
1,1755,17.5,CRD,66,0,10018-7474,Manhattan,NY,2013-10-06
1,1863,19.2,CRD,70,0,10036-7206,Manhattan,NY,2013-12-02
1,2340,19.63,CRD,73,0,10019-6912,Manhattan,NY,2013-05-11
